# Date,Receipt_Count,Day_of_Week,Month,Day,Year,Lag_1,Lag_2,Lag_3
2021-02-22,8330147,0,2,22,2021,7760399.0,7821879.0,7761256.0
2021-02-23,8053953,1,2,23,2021,8330147.0,7760399.0,7821879.0
2021-02-24,7816117,2,2,24,2021,8053953.0,8330147.0,7760399.0
2021-02-25,8156649,3,2,25,2021,7816117.0,8053953.0,8330147.0
2021-02-26,7857443,4,2,26,2021,8156649.0,7816117.0,8053953.0
2021-02-27,7881212,5,2,27,2021,7857443.0,8156649.0,7816117.0
2021-02-28,7975949,6,2,28,2021,7881212.0,7857443.0,8156649.0
2021-03-01,7970632,0,3,1,2021,7975949.0,7881212.0,7857443.0
2021-03-02,7998865,1,3,2,2021,7970632.0,7975949.0,7881212.0
2021-03-03,7748662,2,3,3,2021,7998865.0,7970632.0,7975949.0
2021-03-04,8080043,3,3,4,2021,7748662.0,7998865.0,7970632.0
2021-03-05,7971011,4,3,5,2021,8080043.0,7748662.0,7998865.0
2021-03-06,8309959,5,3,6,2021,7971011.0,8080043.0,7748662.0
2021-03-07,7945271,6,3,7,2021,8309959.0,7971011.0,8080043.0
2021-03-08,8352635,0,3,8,2021,7945271.0,8309959.0,7971011.0
2021-03-09,7861647,1,3,9,2021,8352635.0,7945271.0,8309959.0
2021-03-10,7920726,2,3,10,2021,7861647.0,8352635.0,7945271.0
2021-03-11,7921232,3,3,11,2021,7920726.0,7861647.0,8352635.0
2021-03-12,8142874,4,3,12,2021,7921232.0,7920726.0,7861647.0
2021-03-13,7731725,5,3,13,2021,8142874.0,7921232.0,7920726.0
2021-03-14,8070687,6,3,14,2021,7731725.0,8142874.0,7921232.0
2021-03-15,7825047,0,3,15,2021,8070687.0,7731725.0,8142874.0
2021-03-16,7920469,1,3,16,2021,7825047.0,8070687.0,7731725.0
2021-03-17,7946897,2,3,17,2021,7920469.0,7825047.0,8070687.0
2021-03-18,8090998,3,3,18,2021,7946897.0,7920469.0,7825047.0
2021-03-19,8415152,4,3,19,2021,8090998.0,7946897.0,7920469.0
2021-03-20,8325436,5,3,20,2021,8415152.0,8090998.0,7946897.0
2021-03-21,8105278,6,3,21,2021,8325436.0,8415152.0,8090998.0
2021-03-22,7562433,0,3,22,2021,8105278.0,8325436.0,8415152.0
2021-03-23,8096085,1,3,23,2021,7562433.0,8105278.0,8325436.0
2021-03-24,8034268,2,3,24,2021,8096085.0,7562433.0,8105278.0
2021-03-25,8050876,3,3,25,2021,8034268.0,8096085.0,7562433.0
2021-03-26,8077321,4,3,26,2021,8050876.0,8034268.0,8096085.0
2021-03-27,7999117,5,3,27,2021,8077321.0,8050876.0,8034268.0
2021-03-28,8082481,6,3,28,2021,7999117.0,8077321.0,8050876.0
2021-03-29,8126444,0,3,29,2021,8082481.0,7999117.0,8077321.0
2021-03-30,7911341,1,3,30,2021,8126444.0,8082481.0,7999117.0
2021-03-31,8013013,2,3,31,2021,7911341.0,8126444.0,8082481.0
2021-04-01,8353242,3,4,1,2021,8013013.0,7911341.0,8126444.0
2021-04-02,8042185,4,4,2,2021,8353242.0,8013013.0,7911341.0
2021-04-03,8401675,5,4,3,2021,8042185.0,8353242.0,8013013.0
2021-04-04,8134408,6,4,4,2021,8401675.0,8042185.0,8353242.0
2021-04-05,8422480,0,4,5,2021,8134408.0,8401675.0,8042185.0
2021-04-06,8140096,1,4,6,2021,8422480.0,8134408.0,8401675.0
2021-04-07,8385138,2,4,7,2021,8140096.0,8422480.0,8134408.0
2021-04-08,8619576,3,4,8,2021,8385138.0,8140096.0,8422480.0
2021-04-09,7961949,4,4,9,2021,8619576.0,8385138.0,8140096.0
2021-04-10,8388608,5,4,10,2021,7961949.0,8619576.0,8385138.0
2021-04-11,8458290,6,4,11,2021,8388608.0,7961949.0,8619576.0
2021-04-12,8206730,0,4,12,2021,8458290.0,8388608.0,7961949.0
2021-04-13,8319338,1,4,13,2021,8206730.0,8458290.0,8388608.0
2021-04-14,8726486,2,4,14,2021,8319338.0,8206730.0,8458290.0
2021-04-15,8342572,3,4,15,2021,8726486.0,8319338.0,8206730.0
2021-04-16,8438884,4,4,16,2021,8342572.0,8726486.0,8319338.0
2021-04-17,8186918,5,4,17,2021,8438884.0,8342572.0,8726486.0
2021-04-18,8195134,6,4,18,2021,8186918.0,8438884.0,8342572.0
2021-04-19,8366630,0,4,19,2021,8195134.0,8186918.0,8438884.0
2021-04-20,8282495,1,4,20,2021,8366630.0,8195134.0,8186918.0
2021-04-21,8641338,2,4,21,2021,8282495.0,8366630.0,8195134.0
2021-04-22,8521710,3,4,22,2021,8641338.0,8282495.0,8366630.0
2021-04-23,8255078,4,4,23,2021,8521710.0,8641338.0,8282495.0
2021-04-24,8221890,5,4,24,2021,8255078.0,8521710.0,8641338.0
2021-04-25,8509398,6,4,25,2021,8221890.0,8255078.0,8521710.0
2021-04-26,8055670,0,4,26,2021,8509398.0,8221890.0,8255078.0
2021-04-27,8266410,1,4,27,2021,8055670.0,8509398.0,8221890.0
2021-04-28,8367438,2,4,28,2021,8266410.0,8055670.0,8509398.0
2021-04-29,8704248,3,4,29,2021,8367438.0,8266410.0,8055670.0
2021-04-30,8728816,4,4,30,2021,8704248.0,8367438.0,8266410.0
2021-05-01,8231674,5,5,1,2021,8728816.0,8704248.0,8367438.0
2021-05-02,8278534,6,5,2,2021,8231674.0,8728816.0,8704248.0
2021-05-03,8727522,0,5,3,2021,8278534.0,8231674.0,8728816.0
2021-05-04,8649710,1,5,4,2021,8727522.0,8278534.0,8231674.0
2021-05-05,8519563,2,5,5,2021,8649710.0,8727522.0,8278534.0
2021-05-06,8435867,3,5,6,2021,8519563.0,8649710.0,8727522.0
2021-05-07,8227322,4,5,7,2021,8435867.0,8519563.0,8649710.0
2021-05-08,8383810,5,5,8,2021,8227322.0,8435867.0,8519563.0
2021-05-09,8109287,6,5,9,2021,8383810.0,8227322.0,8435867.0
2021-05-10,8518147,0,5,10,2021,8109287.0,8383810.0,8227322.0
2021-05-11,8472640,1,5,11,2021,8518147.0,8109287.0,8383810.0
2021-05-12,8359580,2,5,12,2021,8472640.0,8518147.0,8109287.0
2021-05-13,8262562,3,5,13,2021,8359580.0,8472640.0,8518147.0
2021-05-14,8503389,4,5,14,2021,8262562.0,8359580.0,8472640.0
2021-05-15,8498352,5,5,15,2021,8503389.0,8262562.0,8359580.0
2021-05-16,9066670,6,5,16,2021,8498352.0,8503389.0,8262562.0
2021-05-17,8744235,0,5,17,2021,9066670.0,8498352.0,8503389.0
2021-05-18,8688343,1,5,18,2021,8744235.0,9066670.0,8498352.0
2021-05-19,8475700,2,5,19,2021,8688343.0,8744235.0,9066670.0
2021-05-20,8471826,3,5,20,2021,8475700.0,8688343.0,8744235.0
2021-05-21,9020316,4,5,21,2021,8471826.0,8475700.0,8688343.0
2021-05-22,8399861,5,5,22,2021,9020316.0,8471826.0,8475700.0
2021-05-23,8387758,6,5,23,2021,8399861.0,9020316.0,8471826.0
2021-05-24,8637948,0,5,24,2021,8387758.0,8399861.0,9020316.0
2021-05-25,8088783,1,5,25,2021,8637948.0,8387758.0,8399861.0
2021-05-26,8148275,2,5,26,2021,8088783.0,8637948.0,8387758.0
2021-05-27,8682340,3,5,27,2021,8148275.0,8088783.0,8637948.0
2021-05-28,8879871,4,5,28,2021,8682340.0,8148275.0,8088783.0
2021-05-29,8680501,5,5,29,2021,8879871.0,8682340.0,8148275.0
2021-05-30,8083372,6,5,30,2021,8680501.0,8879871.0,8682340.0
2021-05-31,8517990,0,5,31,2021,8083372.0,8680501.0,8879871.0
2021-06-01,8491801,1,6,1,2021,8517990.0,8083372.0,8680501.0
2021-06-02,9031534,2,6,2,2021,8491801.0,8517990.0,8083372.0
2021-06-03,8319351,3,6,3,2021,9031534.0,8491801.0,8517990.0
2021-06-04,8553246,4,6,4,2021,8319351.0,9031534.0,8491801.0
2021-06-05,8534097,5,6,5,2021,8553246.0,8319351.0,9031534.0
2021-06-06,8462584,6,6,6,2021,8534097.0,8553246.0,8319351.0
2021-06-07,8691699,0,6,7,2021,8462584.0,8534097.0,8553246.0
2021-06-08,8686964,1,6,8,2021,8691699.0,8462584.0,8534097.0
2021-06-09,8550358,2,6,9,2021,8686964.0,8691699.0,8462584.0
2021-06-10,8143101,3,6,10,2021,8550358.0,8686964.0,8691699.0
2021-06-11,8645316,4,6,11,2021,8143101.0,8550358.0,8686964.0
2021-06-12,8928652,5,6,12,2021,8645316.0,8143101.0,8550358.0
2021-06-13,9082265,6,6,13,2021,8928652.0,8645316.0,8143101.0
2021-06-14,8796515,0,6,14,2021,9082265.0,8928652.0,8645316.0
2021-06-15,8629607,1,6,15,2021,8796515.0,9082265.0,8928652.0
2021-06-16,8827278,2,6,16,2021,8629607.0,8796515.0,9082265.0
2021-06-17,8946278,3,6,17,2021,8827278.0,8629607.0,8796515.0
2021-06-18,8390857,4,6,18,2021,8946278.0,8827278.0,8629607.0
2021-06-19,8782778,5,6,19,2021,8390857.0,8946278.0,8827278.0
2021-06-20,8817338,6,6,20,2021,8782778.0,8390857.0,8946278.0
2021-06-21,8543719,0,6,21,2021,8817338.0,8782778.0,8390857.0
2021-06-22,8590990,1,6,22,2021,8543719.0,8817338.0,8782778.0
2021-06-23,8774391,2,6,23,2021,8590990.0,8543719.0,8817338.0
2021-06-24,8913737,3,6,24,2021,8774391.0,8590990.0,8543719.0
2021-06-25,8665876,4,6,25,2021,8913737.0,8774391.0,8590990.0
2021-06-26,8707038,5,6,26,2021,8665876.0,8913737.0,8774391.0
2021-06-27,8869334,6,6,27,2021,8707038.0,8665876.0,8913737.0
2021-06-28,9186579,0,6,28,2021,8869334.0,8707038.0,8665876.0
2021-06-29,8372464,1,6,29,2021,9186579.0,8869334.0,8707038.0
2021-06-30,8721093,2,6,30,2021,8372464.0,9186579.0,8869334.0
2021-07-01,8704509,3,7,1,2021,8721093.0,8372464.0,9186579.0
2021-07-02,8939614,4,7,2,2021,8704509.0,8721093.0,8372464.0
2021-07-03,9267015,5,7,3,2021,8939614.0,8704509.0,8721093.0
2021-07-04,8544557,6,7,4,2021,9267015.0,8939614.0,8704509.0
2021-07-05,8735065,0,7,5,2021,8544557.0,9267015.0,8939614.0
2021-07-06,8326629,1,7,6,2021,8735065.0,8544557.0,9267015.0
2021-07-07,8831147,2,7,7,2021,8326629.0,8735065.0,8544557.0
2021-07-08,8857992,3,7,8,2021,8831147.0,8326629.0,8735065.0
2021-07-09,9160117,4,7,9,2021,8857992.0,8831147.0,8326629.0
2021-07-10,8672036,5,7,10,2021,9160117.0,8857992.0,8831147.0
2021-07-11,8670423,6,7,11,2021,8672036.0,9160117.0,8857992.0
2021-07-12,8869283,0,7,12,2021,8670423.0,8672036.0,9160117.0
2021-07-13,8686309,1,7,13,2021,8869283.0,8670423.0,8672036.0
2021-07-14,8654144,2,7,14,2021,8686309.0,8869283.0,8670423.0
2021-07-15,8860853,3,7,15,2021,8654144.0,8686309.0,8869283.0
2021-07-16,9198488,4,7,16,2021,8860853.0,8654144.0,8686309.0
2021-07-17,8960260,5,7,17,2021,9198488.0,8860853.0,8654144.0
2021-07-18,9122667,6,7,18,2021,8960260.0,9198488.0,8860853.0
2021-07-19,9138658,0,7,19,2021,9122667.0,8960260.0,9198488.0
2021-07-20,8987305,1,7,20,2021,9138658.0,9122667.0,8960260.0
2021-07-21,8899455,2,7,21,2021,8987305.0,9138658.0,9122667.0
2021-07-22,9017914,3,7,22,2021,8899455.0,8987305.0,9138658.0
2021-07-23,8480182,4,7,23,2021,9017914.0,8899455.0,8987305.0
2021-07-24,8603099,5,7,24,2021,8480182.0,9017914.0,8899455.0
2021-07-25,8636410,6,7,25,2021,8603099.0,8480182.0,9017914.0
2021-07-26,8996817,0,7,26,2021,8636410.0,8603099.0,8480182.0
2021-07-27,9024807,1,7,27,2021,8996817.0,8636410.0,8603099.0
2021-07-28,9329236,2,7,28,2021,9024807.0,8996817.0,8636410.0
2021-07-29,8979426,3,7,29,2021,9329236.0,9024807.0,8996817.0
2021-07-30,8909272,4,7,30,2021,8979426.0,9329236.0,9024807.0
2021-07-31,8712314,5,7,31,2021,8909272.0,8979426.0,9329236.0
2021-08-01,8861903,6,8,1,2021,8712314.0,8909272.0,8979426.0
2021-08-02,8913143,0,8,2,2021,8861903.0,8712314.0,8909272.0
2021-08-03,9223398,1,8,3,2021,8913143.0,8861903.0,8712314.0
2021-08-04,9410437,2,8,4,2021,9223398.0,8913143.0,8861903.0
2021-08-05,9212329,3,8,5,2021,9410437.0,9223398.0,8913143.0
2021-08-06,9062121,4,8,6,2021,9212329.0,9410437.0,9223398.0
2021-08-07,9432522,5,8,7,2021,9062121.0,9212329.0,9410437.0
2021-08-08,9111057,6,8,8,2021,9432522.0,9062121.0,9212329.0
2021-08-09,8971236,0,8,9,2021,9111057.0,9432522.0,9062121.0
2021-08-10,8799249,1,8,10,2021,8971236.0,9111057.0,9432522.0
2021-08-11,9127038,2,8,11,2021,8799249.0,8971236.0,9111057.0
2021-08-12,9362940,3,8,12,2021,9127038.0,8799249.0,8971236.0
2021-08-13,9077857,4,8,13,2021,9362940.0,9127038.0,8799249.0
2021-08-14,9413465,5,8,14,2021,9077857.0,9362940.0,9127038.0
2021-08-15,8950079,6,8,15,2021,9413465.0,9077857.0,9362940.0
2021-08-16,9215173,0,8,16,2021,8950079.0,9413465.0,9077857.0
2021-08-17,9056307,1,8,17,2021,9215173.0,8950079.0,9413465.0
2021-08-18,8968187,2,8,18,2021,9056307.0,9215173.0,8950079.0
2021-08-19,9357610,3,8,19,2021,8968187.0,9056307.0,9215173.0
2021-08-20,8971426,4,8,20,2021,9357610.0,8968187.0,9056307.0
2021-08-21,9238276,5,8,21,2021,8971426.0,9357610.0,8968187.0
2021-08-22,9372279,6,8,22,2021,9238276.0,8971426.0,9357610.0
2021-08-23,9589375,0,8,23,2021,9372279.0,9238276.0,8971426.0
2021-08-24,8961875,1,8,24,2021,9589375.0,9372279.0,9238276.0
2021-08-25,9160096,2,8,25,2021,8961875.0,9589375.0,9372279.0
2021-08-26,9052229,3,8,26,2021,9160096.0,8961875.0,9589375.0
2021-08-27,8778271,4,8,27,2021,9052229.0,9160096.0,8961875.0
2021-08-28,9245534,5,8,28,2021,8778271.0,9052229.0,9160096.0
2021-08-29,9384023,6,8,29,2021,9245534.0,8778271.0,9052229.0
2021-08-30,9474742,0,8,30,2021,9384023.0,9245534.0,8778271.0
2021-08-31,9189054,1,8,31,2021,9474742.0,9384023.0,9245534.0
2021-09-01,9167277,2,9,1,2021,9189054.0,9474742.0,9384023.0
2021-09-02,9123056,3,9,2,2021,9167277.0,9189054.0,9474742.0
2021-09-03,9251321,4,9,3,2021,9123056.0,9167277.0,9189054.0
2021-09-04,9377700,5,9,4,2021,9251321.0,9123056.0,9167277.0
2021-09-05,9782022,6,9,5,2021,9377700.0,9251321.0,9123056.0
2021-09-06,8930331,0,9,6,2021,9782022.0,9377700.0,9251321.0
2021-09-07,9718666,1,9,7,2021,8930331.0,9782022.0,9377700.0
2021-09-08,9262001,2,9,8,2021,9718666.0,8930331.0,9782022.0
2021-09-09,9095889,3,9,9,2021,9262001.0,9718666.0,8930331.0
2021-09-10,9364629,4,9,10,2021,9095889.0,9262001.0,9718666.0
2021-09-11,9508131,5,9,11,2021,9364629.0,9095889.0,9262001.0
2021-09-12,9264013,6,9,12,2021,9508131.0,9364629.0,9095889.0
2021-09-13,9461281,0,9,13,2021,9264013.0,9508131.0,9364629.0
2021-09-14,9032235,1,9,14,2021,9461281.0,9264013.0,9508131.0
2021-09-15,9574777,2,9,15,2021,9032235.0,9461281.0,9264013.0
2021-09-16,9189740,3,9,16,2021,9574777.0,9032235.0,9461281.0
2021-09-17,9508023,4,9,17,2021,9189740.0,9574777.0,9032235.0
2021-09-18,9580631,5,9,18,2021,9508023.0,9189740.0,9574777.0
2021-09-19,9697272,6,9,19,2021,9580631.0,9508023.0,9189740.0
2021-09-20,9292315,0,9,20,2021,9697272.0,9580631.0,9508023.0
2021-09-21,9090518,1,9,21,2021,9292315.0,9697272.0,9580631.0
2021-09-22,9294810,2,9,22,2021,9090518.0,9292315.0,9697272.0
2021-09-23,9400956,3,9,23,2021,9294810.0,9090518.0,9292315.0
2021-09-24,9871832,4,9,24,2021,9400956.0,9294810.0,9090518.0
2021-09-25,9569204,5,9,25,2021,9871832.0,9400956.0,9294810.0
2021-09-26,9583588,6,9,26,2021,9569204.0,9871832.0,9400956.0
2021-09-27,9412385,0,9,27,2021,9583588.0,9569204.0,9871832.0
2021-09-28,9221235,1,9,28,2021,9412385.0,9583588.0,9569204.0
2021-09-29,9328174,2,9,29,2021,9221235.0,9412385.0,9583588.0
2021-09-30,9192142,3,9,30,2021,9328174.0,9221235.0,9412385.0
2021-10-01,9432155,4,10,1,2021,9192142.0,9328174.0,9221235.0
2021-10-02,9755500,5,10,2,2021,9432155.0,9192142.0,9328174.0
2021-10-03,9562636,6,10,3,2021,9755500.0,9432155.0,9192142.0
2021-10-04,9497084,0,10,4,2021,9562636.0,9755500.0,9432155.0
2021-10-05,9656472,1,10,5,2021,9497084.0,9562636.0,9755500.0
2021-10-06,9461320,2,10,6,2021,9656472.0,9497084.0,9562636.0
2021-10-07,9363588,3,10,7,2021,9461320.0,9656472.0,9497084.0
2021-10-08,9834844,4,10,8,2021,9363588.0,9461320.0,9656472.0
2021-10-09,9113802,5,10,9,2021,9834844.0,9363588.0,9461320.0
2021-10-10,9290592,6,10,10,2021,9113802.0,9834844.0,9363588.0
2021-10-11,9282316,0,10,11,2021,9290592.0,9113802.0,9834844.0
2021-10-12,9725761,1,10,12,2021,9282316.0,9290592.0,9113802.0
2021-10-13,9449353,2,10,13,2021,9725761.0,9282316.0,9290592.0
2021-10-14,9492895,3,10,14,2021,9449353.0,9725761.0,9282316.0
2021-10-15,9599402,4,10,15,2021,9492895.0,9449353.0,9725761.0
2021-10-16,9664876,5,10,16,2021,9599402.0,9492895.0,9449353.0
2021-10-17,9702569,6,10,17,2021,9664876.0,9599402.0,9492895.0
2021-10-18,9574962,0,10,18,2021,9702569.0,9664876.0,9599402.0
2021-10-19,9540428,1,10,19,2021,9574962.0,9702569.0,9664876.0
2021-10-20,9617606,2,10,20,2021,9540428.0,9574962.0,9702569.0
2021-10-21,9509561,3,10,21,2021,9617606.0,9540428.0,9574962.0
2021-10-22,9417190,4,10,22,2021,9509561.0,9617606.0,9540428.0
2021-10-23,9748484,5,10,23,2021,9417190.0,9509561.0,9617606.0
2021-10-24,9476970,6,10,24,2021,9748484.0,9417190.0,9509561.0
2021-10-25,9373507,0,10,25,2021,9476970.0,9748484.0,9417190.0
2021-10-26,9646801,1,10,26,2021,9373507.0,9476970.0,9748484.0
2021-10-27,9635634,2,10,27,2021,9646801.0,9373507.0,9476970.0
2021-10-28,9530612,3,10,28,2021,9635634.0,9646801.0,9373507.0
2021-10-29,9627467,4,10,29,2021,9530612.0,9635634.0,9646801.0
2021-10-30,9879362,5,10,30,2021,9627467.0,9530612.0,9635634.0
2021-10-31,9501436,6,10,31,2021,9879362.0,9627467.0,9530612.0
2021-11-01,9631220,0,11,1,2021,9501436.0,9879362.0,9627467.0
2021-11-02,10004975,1,11,2,2021,9631220.0,9501436.0,9879362.0
2021-11-03,9749567,2,11,3,2021,10004975.0,9631220.0,9501436.0
2021-11-04,9925777,3,11,4,2021,9749567.0,10004975.0,9631220.0
2021-11-05,9863408,4,11,5,2021,9925777.0,9749567.0,10004975.0
2021-11-06,9933505,5,11,6,2021,9863408.0,9925777.0,9749567.0
2021-11-07,9383028,6,11,7,2021,9933505.0,9863408.0,9925777.0
2021-11-08,9607159,0,11,8,2021,9383028.0,9933505.0,9863408.0
2021-11-09,9707735,1,11,9,2021,9607159.0,9383028.0,9933505.0
2021-11-10,9691895,2,11,10,2021,9707735.0,9607159.0,9383028.0
2021-11-11,9854091,3,11,11,2021,9691895.0,9707735.0,9607159.0
2021-11-12,9695957,4,11,12,2021,9854091.0,9691895.0,9707735.0
2021-11-13,10047149,5,11,13,2021,9695957.0,9854091.0,9691895.0
2021-11-14,9845653,6,11,14,2021,10047149.0,9695957.0,9854091.0
2021-11-15,9656831,0,11,15,2021,9845653.0,10047149.0,9695957.0
2021-11-16,10285056,1,11,16,2021,9656831.0,9845653.0,10047149.0
2021-11-17,9606579,2,11,17,2021,10285056.0,9656831.0,9845653.0
2021-11-18,9928425,3,11,18,2021,9606579.0,10285056.0,9656831.0
2021-11-19,9980182,4,11,19,2021,9928425.0,9606579.0,10285056.0
2021-11-20,9915679,5,11,20,2021,9980182.0,9928425.0,9606579.0
2021-11-21,9837099,6,11,21,2021,9915679.0,9980182.0,9928425.0
2021-11-22,9608834,0,11,22,2021,9837099.0,9915679.0,9980182.0
2021-11-23,9893666,1,11,23,2021,9608834.0,9837099.0,9915679.0
2021-11-24,9897017,2,11,24,2021,9893666.0,9608834.0,9837099.0
2021-11-25,10129048,3,11,25,2021,9897017.0,9893666.0,9608834.0
2021-11-26,9828852,4,11,26,2021,10129048.0,9897017.0,9893666.0
2021-11-27,10014982,5,11,27,2021,9828852.0,10129048.0,9897017.0
2021-11-28,10057900,6,11,28,2021,10014982.0,9828852.0,10129048.0
2021-11-29,10204676,0,11,29,2021,10057900.0,10014982.0,9828852.0
2021-11-30,10299217,1,11,30,2021,10204676.0,10057900.0,10014982.0
2021-12-01,9731627,2,12,1,2021,10299217.0,10204676.0,10057900.0
2021-12-02,9674146,3,12,2,2021,9731627.0,10299217.0,10204676.0
2021-12-03,9679469,4,12,3,2021,9674146.0,9731627.0,10299217.0
2021-12-04,10060861,5,12,4,2021,9679469.0,9674146.0,9731627.0
2021-12-05,9771507,6,12,5,2021,10060861.0,9679469.0,9674146.0
2021-12-06,9726983,0,12,6,2021,9771507.0,10060861.0,9679469.0
2021-12-07,10152789,1,12,7,2021,9726983.0,9771507.0,10060861.0
2021-12-08,9961637,2,12,8,2021,10152789.0,9726983.0,9771507.0
2021-12-09,9888931,3,12,9,2021,9961637.0,10152789.0,9726983.0
2021-12-10,10016144,4,12,10,2021,9888931.0,9961637.0,10152789.0
2021-12-11,10025271,5,12,11,2021,10016144.0,9888931.0,9961637.0
2021-12-12,10013123,6,12,12,2021,10025271.0,10016144.0,9888931.0
2021-12-13,10144930,0,12,13,2021,10013123.0,10025271.0,10016144.0
2021-12-14,10246870,1,12,14,2021,10144930.0,10013123.0,10025271.0
2021-12-15,9838107,2,12,15,2021,10246870.0,10144930.0,10013123.0
2021-12-16,9845904,3,12,16,2021,9838107.0,10246870.0,10144930.0
2021-12-17,10220516,4,12,17,2021,9845904.0,9838107.0,10246870.0
2021-12-18,9835059,5,12,18,2021,10220516.0,9845904.0,9838107.0
2021-12-19,9572522,6,12,19,2021,9835059.0,10220516.0,9845904.0
2021-12-20,10379305,0,12,20,2021,9572522.0,9835059.0,10220516.0
2021-12-21,9680446,1,12,21,2021,10379305.0,9572522.0,9835059.0
2021-12-22,10124238,2,12,22,2021,9680446.0,10379305.0,9572522.0
2021-12-23,9464659,3,12,23,2021,10124238.0,9680446.0,10379305.0
2021-12-24,9703857,4,12,24,2021,9464659.0,10124238.0,9680446.0
2021-12-25,10045897,5,12,25,2021,9703857.0,9464659.0,10124238.0
2021-12-26,10738865,6,12,26,2021,10045897.0,9703857.0,9464659.0
2021-12-27,10350408,0,12,27,2021,10738865.0,10045897.0,9703857.0
2021-12-28,10219445,1,12,28,2021,10350408.0,10738865.0,10045897.0
2021-12-29,10313337,2,12,29,2021,10219445.0,10350408.0,10738865.0
2021-12-30,10310644,3,12,30,2021,10313337.0,10219445.0,10350408.0
2021-12-31,10211187,4,12,31,2021,10310644.0,10313337.0,10219445.0
